ticket_id,created_at_utc,status
2659925,2026-06-11T17:42:20Z,closed
2659940,2026-06-11T17:43:45Z,closed
2659978,2026-06-11T17:46:28Z,closed
2659996,2026-06-11T17:48:15Z,closed
2660011,2026-06-11T17:49:14Z,closed
2698484,2026-06-18T12:19:27Z,closed
2698488,2026-06-18T12:09:08Z,closed
2698502,2026-06-18T12:13:08Z,closed
2698509,2026-06-18T12:27:50Z,closed
2698512,2026-06-18T12:15:58Z,closed
2698534,2026-06-18T12:30:15Z,closed
2698547,2026-06-18T12:31:53Z,closed
2698551,2026-06-18T12:34:24Z,closed
2698552,2026-06-18T12:48:32Z,closed
2698556,2026-06-18T12:34:52Z,closed
2698560,2026-06-18T12:49:44Z,closed
2698569,2026-06-18T12:40:27Z,closed
2698576,2026-06-18T12:41:55Z,closed
2698586,2026-06-18T12:46:14Z,closed
2698589,2026-06-18T12:46:24Z,closed
2698593,2026-06-18T13:01:18Z,closed
2698597,2026-06-18T13:21:33Z,closed
2698601,2026-06-18T13:06:41Z,closed
2698613,2026-06-18T12:52:17Z,closed
2698624,2026-06-18T12:55:36Z,closed
2698631,2026-06-18T12:59:40Z,closed
2698646,2026-06-18T13:00:12Z,closed
2698655,2026-06-18T13:16:33Z,closed
2698657,2026-06-18T13:17:13Z,closed
2698665,2026-06-18T13:10:22Z,closed
2698668,2026-06-18T13:14:35Z,closed
2698669,2026-06-18T13:34:48Z,closed
2698673,2026-06-18T13:07:19Z,closed
2698677,2026-06-18T13:08:25Z,closed
2698680,2026-06-18T13:23:17Z,closed
2698682,2026-06-18T13:23:11Z,closed
2698683,2026-06-18T13:23:35Z,closed
2698684,2026-06-18T13:10:01Z,closed
2698688,2026-06-18T13:25:31Z,closed
2698690,2026-06-18T13:12:30Z,closed
2698695,2026-06-18T13:14:33Z,closed
2698701,2026-06-18T13:16:46Z,closed
2698707,2026-06-18T13:17:53Z,closed
2698709,2026-06-18T13:18:54Z,closed
2698714,2026-06-18T13:34:09Z,closed
2698724,2026-06-18T13:26:08Z,closed
2698735,2026-06-18T13:40:52Z,closed
2698739,2026-06-18T13:30:47Z,closed
2698740,2026-06-18T13:29:18Z,closed
2698754,2026-06-18T13:49:49Z,closed
2698757,2026-06-18T13:42:18Z,closed
2698760,2026-06-18T13:57:40Z,closed
2698761,2026-06-18T13:37:38Z,closed
2698763,2026-06-18T14:08:27Z,closed
2698775,2026-06-18T13:42:49Z,closed
2698779,2026-06-18T13:40:57Z,closed
2698785,2026-06-18T13:55:53Z,closed
2698786,2026-06-18T13:43:26Z,closed
2698788,2026-06-18T13:44:58Z,closed
2698792,2026-06-18T13:47:07Z,closed
2698796,2026-06-18T14:01:37Z,closed
2698801,2026-06-18T13:51:30Z,closed
2698803,2026-06-18T14:02:44Z,closed
2698805,2026-06-18T13:51:22Z,closed
2698809,2026-06-18T13:51:00Z,closed
2698811,2026-06-18T13:52:41Z,closed
2698814,2026-06-18T13:54:33Z,closed
2698817,2026-06-18T13:56:58Z,closed
2698818,2026-06-18T13:55:42Z,closed
2698827,2026-06-18T14:10:59Z,closed
2698831,2026-06-18T14:13:01Z,closed
2698835,2026-06-18T14:02:08Z,closed
2698840,2026-06-18T14:05:55Z,closed
2698842,2026-06-18T14:03:35Z,closed
2698847,2026-06-18T14:14:16Z,closed
2698854,2026-06-18T14:25:06Z,closed
2698874,2026-06-18T14:31:17Z,closed
2698879,2026-06-18T14:16:55Z,closed
2698883,2026-06-18T14:18:17Z,closed
2698885,2026-06-18T14:18:58Z,closed
2698887,2026-06-18T14:19:50Z,closed
2698888,2026-06-18T14:34:19Z,closed
2698893,2026-06-18T14:42:42Z,closed
2698907,2026-06-18T14:26:45Z,closed
2698916,2026-06-18T14:28:06Z,closed
2698918,2026-06-18T14:30:33Z,closed
2698919,2026-06-18T14:42:28Z,closed
2698929,2026-06-18T14:31:34Z,closed
2698931,2026-06-18T14:44:12Z,closed
2698936,2026-06-18T14:33:14Z,closed
2698938,2026-06-18T14:33:57Z,closed
2698941,2026-06-18T14:33:35Z,closed
2698945,2026-06-18T14:35:15Z,closed
2698948,2026-06-18T14:48:37Z,closed
2698955,2026-06-18T14:44:04Z,closed
2698958,2026-06-18T14:52:15Z,closed
2698960,2026-06-18T14:39:13Z,closed
2698963,2026-06-18T14:42:54Z,closed
2698965,2026-06-18T14:59:13Z,closed
2698970,2026-06-18T14:58:23Z,closed
2698971,2026-06-18T14:43:05Z,closed
2698973,2026-06-18T14:47:49Z,closed
2698974,2026-06-18T14:45:56Z,closed
2698975,2026-06-18T14:45:13Z,closed
2698976,2026-06-18T15:02:20Z,closed
2698992,2026-06-18T15:04:35Z,closed
2698994,2026-06-18T15:33:19Z,closed
2698996,2026-06-18T15:04:39Z,closed
2699010,2026-06-18T14:58:08Z,closed
2699013,2026-06-18T14:54:49Z,closed
