categoria,tag,uso_total_alltime
fluxo_entrada,welcome_entrada,275211
fluxo_saida,welcome_saida,195514
fluxo_entrada,transferencia_entrada,140149
fluxo_saida,transferencia_saida,123314
fluxo_entrada,cadastro_entrada,46529
fluxo_saida,cadastro_saida,31154
fluxo_entrada,promocoes_entrada,33619
fluxo_saida,promocoes_saida,19092
fluxo_entrada,bsat_entrada,31266
fluxo_saida,bsat_saida,21934
fluxo_entrada,informacao_deposito_entrada,30330
fluxo_saida,informacao_deposito_saida,16901
fluxo_entrada,recoperacao_conta_entrada,26029
fluxo_saida,recoperacao_conta_saida,14391
fluxo_entrada,ainda_n_recebi_aposta_entrada,22403
fluxo_saida,ainda_n_recebi_aposta_saida,19604
fluxo_entrada,informacao_saque_entrada,20467
fluxo_saida,informacao_saque_saida,17178
fluxo_entrada,duvida_mercado_cassino_entrada,15315
fluxo_saida,duvida_mercado_cassino_saida,14243
fluxo_entrada,passo_a_passo_cadastro_entrada,14991
fluxo_saida,passo_a_passo_cadastro_saida,2755
fluxo_entrada,recuperacao_conta_entrada,14853
fluxo_saida,recuperacao_conta_saida,8366
fluxo_entrada,validacao_e-mail_entrada,14343
fluxo_saida,validacao_e-mail_saida,2008
fluxo_entrada,duvida_apostas_entrada,13766
fluxo_saida,duvida_apostas_saida,11364
fluxo_entrada,validacao_identidade_entrada,12126
fluxo_saida,validacao_identidade_saida,9916
fluxo_entrada,bolsa_familia_entrada,7821
fluxo_saida,bolsa_familia_saida,1903
fluxo_entrada,encerrar_aposta_entrada,5479
fluxo_saida,encerrar_aposta_saida,4420
fluxo_entrada,codigo_promocional_entrada,5420
fluxo_saida,codigo_promocional_saida,4049
fluxo_entrada,menu_apos_fluxo_entrada,3731
fluxo_saida,menu_apos_fluxo_saida,994
fluxo_entrada,como_apostar_entrada,3563
fluxo_saida,como_apostar_saida,2496
fluxo_entrada,bonus_nao_recebido_entrada,3462
fluxo_saida,bonus_nao_recebido_saida,3462
fluxo_entrada,bonus_nao_visivel_entrada,3145
fluxo_saida,bonus_nao_visivel_saida,2274
fluxo_entrada,baixar_aplicativo_entrada,1932
fluxo_saida,baixar_aplicativo_saida,1513
fluxo_entrada,defina_limites_entrada,1816
fluxo_saida,defina_limites_saida,1272
fluxo_entrada,promocoes_disponiveis_entrada,1507
fluxo_saida,promocoes_disponiveis_saida,1158
fluxo_entrada,solicitar_bonus_retencao_entrada,1236
fluxo_saida,solicitar_bonus_retencao_saida,1126
